Customer ID;Customer Name;Segment;Country/Region;City;State;Postal Code;Region
CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South
DV-13045;Darrin Van Huff;Corporate;United States;Los Angeles;California;90036;West
SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;33311;South
BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West
AA-10480;Andrew Allen;Consumer;United States;Concord;North Carolina;28027;South
IM-15070;Irene Maddox;Consumer;United States;Seattle;Washington;98103;West
HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central
PK-19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;53711;Central
AG-10270;Alejandro Grove;Consumer;United States;West Jordan;Utah;84084;West
ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West
KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central
SF-20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;19140;East
EB-13870;Emily Burns;Consumer;United States;Orem;Utah;84057;West
EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West
TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East
